,Abadiania,Agua Fria de Goias,Aguas Claras,Aguas Claras Vertical,Aguas Lindas de Goias,Alexania,Brazlandia,Buritis,Cabeceira Grande,Cabeceiras,Candangolandia,Ceilandia,Cidade Ocidental,Cocalzinho de Goias,Corumba de Goias,Cristalina,Cruzeiro,Formosa,Gama,Guara,Itapoa,Jardim Botanico,Lago Norte,Lago Sul,Luziania,Novo Gama,Nucleo Bandeirante,Padre Bernardo,Paranoa,Park Way,Pirenopolis,Planaltina,Planaltina-GO,Plano Piloto,Recanto das Emas,Riacho Fundo I,Riacho Fundo II,Samambaia,Santa Maria,Santo Antonio do Descoberto,Sao Sebastiao,SCIA/Estrutural,SIA,Sobradinho,Sobradinho II,Sol Nascente/Por do Sol,Sudoeste/Octogonal,Taguatinga,Unai,Valparaiso de Goias,Varjao,Vicente Pires,Vila Boa
Lago Norte,8659.666666666666,9062.0,2618.6666666666665,2966.3333333333335,3800.3333333333335,5961.333333333333,2982.0,9860.666666666666,7957.333333333333,7282.0,2292.6666666666665,3330.6666666666665,3841.0,6126.333333333333,7498.333333333333,6803.666666666667,1343.0,7089.666666666667,3581.6666666666665,1963.0,2077.6666666666665,2341.0,938.6666666666666,3085.3333333333335,7242.0,4645.0,1786.0,7362.0,3180.6666666666665,2615.0,9514.666666666666,2912.0,7128.0,2834.6666666666665,3595.6666666666665,2611.3333333333335,2952.0,4010.3333333333335,3308.3333333333335,5694.0,3877.3333333333335,2004.6666666666667,1551.3333333333333,2560.3333333333335,2133.6666666666665,3258.0,1720.6666666666667,2921.3333333333335,11595.0,3371.0,1181.0,2649.6666666666665,8612.666666666666
Lago Sul,7839.0,9818.666666666666,2512.0,2846.3333333333335,4200.666666666667,5934.0,4861.333333333333,10966.0,6927.0,8659.333333333334,1655.0,4565.333333333333,2989.6666666666665,6882.666666666667,6679.666666666667,6131.666666666667,1524.6666666666667,9747.333333333334,3159.6666666666665,1878.0,3430.0,1736.0,2962.3333333333335,1315.0,4757.0,3220.3333333333335,2662.0,10061.666666666666,4216.666666666667,2648.0,10621.666666666666,4436.333333333333,7236.666666666667,4192.333333333333,3741.0,2085.0,2310.0,3189.6666666666665,2366.3333333333335,6562.666666666667,3238.3333333333335,2896.3333333333335,1893.0,3467.0,3466.3333333333335,3498.3333333333335,3103.3333333333335,2196.0,10160.333333333334,2824.3333333333335,3212.3333333333335,2736.3333333333335,11180.0
Nucleo Bandeirante,7196.0,8783.0,947.3333333333334,1179.6666666666667,3427.6666666666665,4627.666666666667,3088.3333333333335,10344.666666666666,7692.0,8125.333333333333,508.3333333333333,1975.0,3747.6666666666665,7041.333333333333,6166.666666666667,6252.666666666667,968.6666666666666,7804.666666666667,2556.6666666666665,1009.3333333333334,2732.6666666666665,2749.6666666666665,1964.6666666666667,2187.3333333333335,6569.333333333333,3305.3333333333335,464.6666666666667,8693.0,3988.0,621.0,9911.0,4443.333333333333,8112.5,2423.0,1824.3333333333333,1050.3333333333333,1032.6666666666667,1624.0,1918.6666666666667,3872.6666666666665,3147.0,1165.3333333333333,1118.3333333333333,3748.6666666666665,2424.3333333333335,2089.3333333333335,1077.3333333333333,1643.3333333333333,9629.333333333334,2083.0,1895.3333333333333,1429.3333333333333,11372.0
Paranoa,9227.333333333334,10666.666666666666,4574.333333333333,5161.0,7886.333333333333,8215.333333333334,7195.666666666667,10901.333333333334,4459.333333333333,6515.666666666667,4058.0,5575.0,3888.0,8848.0,8832.0,7263.0,4108.666666666667,8575.0,4918.0,4767.666666666667,2543.6666666666665,3078.0,3317.3333333333335,3519.3333333333335,6635.666666666667,5592.666666666667,4270.666666666667,9843.666666666666,2040.6666666666667,3803.0,12126.333333333334,4026.6666666666665,6875.333333333333,6233.0,4474.333333333333,4652.0,3995.3333333333335,5187.333333333333,3575.0,6679.0,2408.0,5350.666666666667,4080.6666666666665,4553.333333333333,4505.666666666667,5177.0,2932.3333333333335,5886.0,5073.333333333333,4467.666666666667,3348.0,4824.666666666667,9253.333333333334
Park Way,7232.0,8326.333333333334,1537.0,1289.0,3867.0,4970.666666666667,3734.0,10657.333333333334,6923.0,8174.666666666667,689.3333333333334,2875.6666666666665,4068.6666666666665,6199.666666666667,6287.0,8792.666666666666,1110.0,7023.666666666667,2186.0,890.6666666666666,2978.3333333333335,3142.0,2069.6666666666665,1969.3333333333333,5424.333333333333,2581.6666666666665,968.3333333333334,7821.333333333333,3587.6666666666665,976.0,9896.5,4396.666666666667,7989.666666666667,3250.6666666666665,2298.6666666666665,1590.0,1235.6666666666667,2125.6666666666665,2407.0,4211.666666666667,2708.3333333333335,1983.6666666666667,1105.3333333333333,3250.6666666666665,2198.0,2329.0,1244.6666666666667,2308.3333333333335,10358.0,2189.0,2008.6666666666667,1943.3333333333333,9879.0
Planaltina,10161.0,7538.0,4719.333333333333,4409.666666666667,6261.333333333333,7907.666666666667,5043.0,6744.666666666667,5835.666666666667,5872.333333333333,3880.0,5282.0,5201.333333333333,8643.0,9590.333333333334,10689.0,3157.0,4348.666666666667,5851.333333333333,4345.333333333333,3005.3333333333335,5196.333333333333,2850.6666666666665,4591.0,9560.0,5690.0,4394.0,8767.0,3430.0,4277.666666666667,12304.0,1873.6666666666667,6630.666666666667,4652.333333333333,5719.666666666667,4901.0,4419.666666666667,4680.666666666667,4642.0,6587.666666666667,4327.666666666667,4912.666666666667,4259.333333333333,4553.666666666667,3006.6666666666665,6028.0,3624.3333333333335,4087.0,9921.666666666666,5525.666666666667,3172.0,4103.0,8217.0
Plano Piloto,7120.333333333333,6845.333333333333,2680.3333333333335,2705.3333333333335,4260.333333333333,7071.0,2743.3333333333335,10926.333333333334,8429.333333333334,7817.333333333333,2783.3333333333335,4151.0,5622.666666666667,6250.0,7580.333333333333,12945.666666666666,1579.6666666666667,6926.5,3819.0,2310.0,2803.3333333333335,3427.3333333333335,2851.3333333333335,3232.6666666666665,5490.333333333333,4543.0,1772.0,5359.666666666667,4998.666666666667,2299.0,9116.0,4575.0,5837.666666666667,2674.0,3710.6666666666665,3164.0,2318.3333333333335,3397.0,4401.333333333333,6596.666666666667,4539.333333333333,2378.0,2291.6666666666665,3244.0,1841.0,2398.0,2235.3333333333335,2309.0,10373.333333333334,5004.666666666667,1999.0,2053.6666666666665,9830.5
Recanto das Emas,5785.666666666667,9161.666666666666,1357.0,2164.0,2532.6666666666665,4558.333333333333,4648.666666666667,10710.333333333334,8314.0,8215.0,1887.6666666666667,2040.6666666666667,4623.666666666667,6620.666666666667,5349.333333333333,7613.0,2163.0,9089.0,1848.0,1707.0,3941.3333333333335,3674.3333333333335,3477.0,3454.0,8104.666666666667,3752.0,1237.3333333333333,8561.0,4504.666666666667,1695.6666666666667,7550.333333333333,5466.0,9671.0,4224.0,1929.0,1647.3333333333333,889.3333333333334,852.0,2244.6666666666665,4055.6666666666665,4000.6666666666665,2871.0,2458.0,4071.3333333333335,4226.333333333333,2238.3333333333335,2021.6666666666667,2519.3333333333335,11884.333333333334,2352.0,3823.3333333333335,2074.3333333333335,10209.333333333334
Riacho Fundo I,6364.0,11063.666666666666,1179.3333333333333,1750.6666666666667,4275.666666666667,5777.0,3497.6666666666665,10155.666666666666,7324.333333333333,9139.0,1458.0,2122.6666666666665,3715.6666666666665,6468.666666666667,6305.666666666667,9735.0,1952.0,7063.666666666667,2050.3333333333335,1537.0,4164.666666666667,3680.3333333333335,3040.3333333333335,1927.0,4801.666666666667,3188.3333333333335,1029.6666666666667,7522.333333333333,4271.0,1558.3333333333333,8897.666666666666,5335.333333333333,6220.0,3227.3333333333335,2103.0,1496.6666666666667,1134.3333333333333,2074.0,2086.3333333333335,4834.333333333333,3404.6666666666665,2192.6666666666665,1555.3333333333333,3984.0,3030.6666666666665,2605.6666666666665,1860.6666666666667,3069.3333333333335,9711.666666666666,2132.0,2845.6666666666665,2099.3333333333335,9456.666666666666
Riacho Fundo II,6185.0,9130.333333333334,1130.6666666666667,1329.6666666666667,3897.0,3709.0,3366.0,11327.333333333334,7671.333333333333,7982.333333333333,1226.0,2461.3333333333335,3612.3333333333335,6499.666666666667,5951.666666666667,7289.5,1491.0,7923.0,1810.6666666666667,1648.0,3689.0,2945.3333333333335,2676.6666666666665,1677.6666666666667,6657.333333333333,2750.6666666666665,1143.6666666666667,6767.666666666667,4037.6666666666665,1710.6666666666667,7996.666666666667,4665.666666666667,10051.666666666666,3331.3333333333335,1181.3333333333333,919.6666666666666,741.0,1822.0,1664.3333333333333,4307.0,2624.3333333333335,2031.6666666666667,1593.3333333333333,3920.3333333333335,3111.6666666666665,1382.6666666666667,1790.3333333333333,1836.6666666666667,10733.333333333334,1583.6666666666667,2516.6666666666665,1693.0,10361.666666666666
