,Abadiania,Agua Fria de Goias,Aguas Claras,Aguas Claras Vertical,Aguas Lindas de Goias,Alexania,Brazlandia,Buritis,Cabeceira Grande,Cabeceiras,Candangolandia,Ceilandia,Cidade Ocidental,Cocalzinho de Goias,Corumba de Goias,Cristalina,Cruzeiro,Formosa,Gama,Guara,Itapoa,Jardim Botanico,Lago Norte,Lago Sul,Luziania,Novo Gama,Nucleo Bandeirante,Padre Bernardo,Paranoa,Park Way,Pirenopolis,Planaltina,Planaltina-GO,Plano Piloto,Recanto das Emas,Riacho Fundo I,Riacho Fundo II,Samambaia,Santa Maria,Santo Antonio do Descoberto,Sao Sebastiao,SCIA/Estrutural,SIA,Sobradinho,Sobradinho II,Sol Nascente/Por do Sol,Sudoeste/Octogonal,Taguatinga,Unai,Valparaiso de Goias,Varjao,Vicente Pires,Vila Boa
Lago Norte,108521.0,100837.0,26370.333333333332,25039.333333333332,53267.333333333336,72429.66666666667,32164.0,133620.5,81616.33333333333,78498.33333333333,21199.0,39486.666666666664,41571.666666666664,95824.0,82799.66666666667,133696.33333333334,14617.666666666666,74854.0,43842.666666666664,21865.666666666668,5482.0,18581.0,4908.333333333333,25541.666666666668,61473.0,47775.0,26060.0,87974.33333333333,27391.666666666668,27222.333333333332,124204.0,35725.0,72678.66666666667,14682.0,37236.666666666664,30619.666666666668,32468.666666666668,34181.333333333336,32222.666666666668,69505.66666666667,30724.333333333332,20647.333333333332,18197.333333333332,27625.333333333332,16454.333333333332,30090.333333333332,14771.666666666666,28692.666666666668,122900.33333333333,41146.0,7149.333333333333,21057.0,115630.33333333333
Lago Sul,99182.66666666667,119440.33333333333,20088.666666666668,20332.666666666668,44346.666666666664,66867.0,47314.666666666664,119377.66666666667,85482.0,97121.0,13790.333333333334,38143.0,29235.666666666668,75079.0,83525.33333333333,71669.0,16984.666666666668,87818.66666666667,31666.666666666668,13046.333333333334,25686.333333333332,12755.333333333334,21557.333333333332,5314.333333333333,60940.666666666664,27576.333333333332,17708.0,101488.0,32167.333333333332,13324.0,115536.33333333333,41878.333333333336,96082.66666666667,23392.0,34133.666666666664,19875.333333333332,13908.0,35202.666666666664,21221.666666666668,50447.666666666664,24522.666666666668,17773.666666666668,16502.0,32625.0,31433.333333333332,30161.333333333332,16396.666666666668,24462.666666666668,102972.0,21518.0,20274.0,23447.666666666668,137972.33333333334
Nucleo Bandeirante,86803.33333333333,114401.33333333333,7481.333333333333,7263.333333333333,38576.0,55521.333333333336,34546.666666666664,143560.66666666666,86535.33333333333,98199.66666666667,4799.0,16987.666666666668,29363.666666666668,70286.66666666667,78554.33333333333,83015.0,8096.666666666667,130618.0,19642.0,5026.333333333333,34168.333333333336,27056.666666666668,21357.0,15792.666666666666,63627.0,25280.666666666668,1966.6666666666667,52548.333333333336,50939.666666666664,7536.666666666667,106138.0,42526.333333333336,72810.33333333333,9615.0,11033.0,8734.333333333334,9874.0,16234.666666666666,21875.333333333332,39760.0,38970.0,10817.666666666666,10409.333333333334,31370.0,28496.333333333332,17271.333333333332,9892.333333333334,15696.666666666666,128046.0,18920.666666666668,20169.333333333332,10645.0,150705.5
Paranoa,121496.0,105473.33333333333,54863.0,52422.0,87818.66666666667,100684.0,60817.0,123299.0,50988.666666666664,73591.66666666667,63140.0,72472.0,41140.666666666664,119779.66666666667,115479.0,87753.33333333333,54768.0,77452.0,66370.33333333333,43272.0,37300.333333333336,36459.0,47555.0,45338.666666666664,67646.66666666667,54579.0,56115.333333333336,106294.0,28455.666666666668,42213.0,155848.33333333334,32939.333333333336,72835.33333333333,48134.333333333336,58690.0,43729.333333333336,44548.666666666664,58263.666666666664,41816.666666666664,90499.0,18853.666666666668,52678.666666666664,42356.0,52552.0,39486.333333333336,57810.333333333336,42580.666666666664,66579.66666666667,67102.0,55995.0,36319.666666666664,52596.0,112591.66666666667
Park Way,81283.0,118641.33333333333,12019.333333333334,9944.0,36890.666666666664,58141.666666666664,38063.666666666664,150421.66666666666,96214.66666666667,90667.0,8164.333333333333,28828.666666666668,33799.666666666664,78245.33333333333,71868.33333333333,85958.66666666667,14579.333333333334,87365.33333333333,24089.0,12950.666666666666,31848.333333333332,26684.0,26328.666666666668,18611.333333333332,55744.666666666664,22619.666666666668,9725.666666666666,96449.0,52150.333333333336,7643.666666666667,111871.66666666667,48454.666666666664,75532.33333333333,24558.333333333332,23415.333333333332,9400.0,9797.333333333334,24898.333333333332,20295.666666666668,51268.666666666664,24545.333333333332,13235.0,15257.333333333334,40903.333333333336,33201.0,25015.666666666668,15403.333333333334,12097.0,124930.33333333333,22474.0,23559.666666666668,16099.0,137897.0
Planaltina,121451.33333333333,84782.66666666667,56422.333333333336,64006.333333333336,69392.66666666667,106521.66666666667,63517.0,103947.33333333333,67270.33333333333,57405.0,53547.333333333336,73655.0,59052.0,114431.33333333333,104552.0,83373.0,39175.666666666664,63345.333333333336,63830.0,48638.0,34212.0,35086.333333333336,27769.333333333332,44516.666666666664,90195.33333333333,71247.66666666667,59605.666666666664,96537.0,21634.0,52008.666666666664,148826.33333333334,24493.666666666668,72779.0,55455.666666666664,71259.0,63206.0,58807.666666666664,55990.666666666664,44455.666666666664,88424.33333333333,43027.0,46072.333333333336,47992.666666666664,45199.0,42831.666666666664,53443.0,50931.333333333336,61446.666666666664,112086.66666666667,68149.0,42356.0,49228.0,95221.33333333333
Plano Piloto,91643.66666666667,100313.33333333333,17407.666666666668,17453.333333333332,41490.0,63196.666666666664,23742.333333333332,140796.0,111652.66666666667,109918.33333333333,8837.0,28922.666666666668,50531.0,72837.66666666667,85619.66666666667,119177.33333333333,14230.0,121627.33333333333,37895.666666666664,13490.666666666666,27290.0,28550.333333333332,18889.666666666668,31771.666666666668,92579.0,43858.666666666664,11998.333333333334,91327.5,45478.0,24781.333333333332,104173.0,48667.666666666664,63768.666666666664,21031.333333333332,38808.333333333336,20765.0,27838.0,28264.333333333332,36745.333333333336,48355.666666666664,36816.666666666664,17321.0,18009.666666666668,30679.0,26795.666666666668,22964.666666666668,12074.0,16223.0,130637.0,39585.333333333336,10197.666666666666,15850.666666666666,132490.66666666666
Recanto das Emas,71141.66666666667,123788.33333333333,9941.0,18032.333333333332,27934.333333333332,41555.333333333336,38233.0,151355.66666666666,100858.33333333333,111429.33333333333,16717.666666666668,13368.333333333334,40117.666666666664,69100.0,45401.666666666664,116379.33333333333,24143.666666666668,140873.0,12266.333333333334,22021.0,46250.0,32438.333333333332,37932.0,26757.666666666668,63214.333333333336,25717.0,16504.666666666668,59825.333333333336,62888.333333333336,17366.666666666668,87969.0,79119.0,77633.33333333333,30931.333333333332,11867.333333333334,13620.0,18314.666666666668,12457.0,24919.0,30539.666666666668,41645.666666666664,24095.333333333332,23155.666666666668,52316.666666666664,37144.666666666664,16259.666666666666,21415.333333333332,19534.333333333332,165672.33333333334,22719.666666666668,38179.0,15388.0,151988.66666666666
Riacho Fundo I,85467.66666666667,107035.66666666667,8319.0,9919.0,36563.0,55043.0,34813.0,139776.33333333334,89291.66666666667,112782.66666666667,9388.0,20042.333333333332,31234.333333333332,75864.0,74731.66666666667,97181.66666666667,17098.333333333332,89410.0,18453.666666666668,12286.333333333334,37482.666666666664,32655.333333333332,29230.0,22338.333333333332,68190.0,23824.0,6814.666666666667,80394.0,53738.333333333336,8680.666666666666,114113.66666666667,55739.666666666664,79474.33333333333,24809.0,16796.333333333332,6393.0,5007.666666666667,21126.333333333332,15223.0,33610.0,34886.666666666664,16469.666666666668,16505.333333333332,40206.0,33445.333333333336,12208.666666666666,15742.0,12543.333333333334,172360.0,19269.0,27056.0,12960.0,140369.0
Riacho Fundo II,73986.0,119894.0,7294.333333333333,9494.666666666666,31785.333333333332,48410.333333333336,34948.0,143996.66666666666,102976.66666666667,104037.0,13282.666666666666,18651.0,36005.0,81248.33333333333,65997.66666666667,110793.33333333333,16084.666666666666,128817.0,14558.0,14534.333333333334,38807.333333333336,33073.666666666664,30327.666666666668,20823.0,57573.0,14841.666666666666,7260.333333333333,83665.33333333333,44692.333333333336,9347.0,95192.33333333333,56093.666666666664,92981.33333333333,29285.666666666668,9871.666666666666,4638.666666666667,1068.6666666666667,15826.333333333334,13022.666666666666,31263.666666666668,28196.0,19675.0,16607.333333333332,43989.333333333336,33488.0,15283.666666666666,17365.0,10303.0,149230.33333333334,14840.666666666666,28420.666666666668,10830.666666666666,144810.5
