,Abadiania,Agua Fria de Goias,Aguas Claras,Aguas Claras Vertical,Aguas Lindas de Goias,Alexania,Brazlandia,Buritis,Cabeceira Grande,Cabeceiras,Candangolandia,Ceilandia,Cidade Ocidental,Cocalzinho de Goias,Corumba de Goias,Cristalina,Cruzeiro,Formosa,Gama,Guara,Itapoa,Jardim Botanico,Lago Norte,Lago Sul,Luziania,Novo Gama,Nucleo Bandeirante,Padre Bernardo,Paranoa,Park Way,Pirenopolis,Planaltina,Planaltina-GO,Plano Piloto,Recanto das Emas,Riacho Fundo I,Riacho Fundo II,Samambaia,Santa Maria,Santo Antonio do Descoberto,Sao Sebastiao,SCIA/Estrutural,SIA,Sobradinho,Sobradinho II,Sol Nascente/Por do Sol,Sudoeste/Octogonal,Taguatinga,Unai,Valparaiso de Goias,Varjao,Vicente Pires,Vila Boa
Lago Norte,29190.333333333332,27356.0,7462.333333333333,6768.333333333333,12590.0,20547.0,11473.666666666666,34701.666666666664,21285.333333333332,24746.0,5313.666666666667,8556.333333333334,11313.0,25712.333333333332,25797.333333333332,28776.0,3737.6666666666665,25005.333333333332,11342.333333333334,4708.0,5150.333333333333,5040.333333333333,1208.3333333333333,7519.333333333333,18714.333333333332,13196.666666666666,5522.666666666667,23855.666666666668,12123.0,6232.666666666667,32938.666666666664,10345.666666666666,17197.0,4020.6666666666665,10590.333333333334,7764.333333333333,7918.333333333333,9980.0,9096.666666666666,15949.666666666666,8022.666666666667,5034.0,4716.666666666667,4419.0,4873.666666666667,9158.666666666666,3656.0,7328.666666666667,34168.666666666664,10030.0,678.3333333333334,5940.0,28639.666666666668
Lago Sul,27771.333333333332,31908.333333333332,6223.0,6192.666666666667,12928.0,17863.333333333332,9602.0,40652.0,22921.0,25304.666666666668,2779.6666666666665,9581.333333333334,5206.0,21359.0,20287.333333333332,23073.333333333332,4943.0,24003.0,7603.333333333333,4615.0,5633.333333333333,4982.333333333333,7007.333333333333,3268.3333333333335,20563.666666666668,8239.666666666666,3828.3333333333335,26517.333333333332,11691.666666666666,2955.6666666666665,33171.666666666664,13239.0,23263.333333333332,7421.0,7299.666666666667,5884.666666666667,5289.0,8266.0,5520.333333333333,14912.666666666666,5073.0,4922.666666666667,5538.0,10472.666666666666,9001.666666666666,7732.666666666667,5077.333333333333,7740.0,29926.0,6591.666666666667,6943.666666666667,6226.333333333333,35657.666666666664
Nucleo Bandeirante,21350.666666666668,31544.0,1565.6666666666667,3070.3333333333335,11356.333333333334,16280.0,10813.0,40821.666666666664,24919.0,24333.333333333332,887.0,6330.0,10461.666666666666,19227.333333333332,18446.666666666668,26433.0,2162.6666666666665,24013.333333333332,6307.0,1912.3333333333333,7810.333333333333,6051.666666666667,5949.666666666667,3679.6666666666665,18986.0,8498.333333333334,364.6666666666667,28745.333333333332,11749.0,1678.3333333333333,34496.333333333336,15226.666666666666,17569.333333333332,7513.333333333333,4386.0,2767.3333333333335,3251.6666666666665,5377.0,5929.666666666667,10642.0,8087.0,2921.0,2725.6666666666665,8203.333333333334,7913.333333333333,5825.333333333333,2544.6666666666665,5147.0,47579.666666666664,5577.333333333333,4861.666666666667,3064.0,35020.333333333336
Paranoa,36108.333333333336,30793.666666666668,18445.0,18347.333333333332,23833.666666666668,29605.666666666668,20599.666666666668,29919.666666666668,16120.333333333334,19190.333333333332,13379.0,18780.666666666668,13738.666666666666,28333.666666666668,35977.333333333336,27146.333333333332,9900.666666666666,25854.666666666668,18813.666666666668,15343.666666666666,9432.0,11516.333333333334,10798.333333333334,9643.0,19328.0,17874.666666666668,15300.666666666666,26038.0,6720.0,13334.0,44003.333333333336,8444.666666666666,19353.0,15828.666666666666,16735.0,13059.333333333334,15530.0,15371.333333333334,14206.333333333334,24287.666666666668,6535.666666666667,16594.333333333332,13416.0,14171.666666666666,14725.333333333334,17797.666666666668,15402.666666666666,17614.0,27149.666666666668,14465.666666666666,12337.666666666666,16838.0,31186.666666666668
Park Way,25669.666666666668,29915.0,3487.6666666666665,3242.0,11944.666666666666,17091.666666666668,11911.666666666666,38740.0,23666.333333333332,26629.333333333332,2724.6666666666665,8481.666666666666,6890.333333333333,26257.0,23271.333333333332,24082.666666666668,3699.0,30335.333333333332,6312.0,3082.0,7360.0,6357.666666666667,6753.0,3867.0,21367.333333333332,6787.333333333333,2296.6666666666665,22948.666666666668,11525.666666666666,2843.0,29150.666666666668,14172.666666666666,17303.0,4889.333333333333,3560.0,3942.0,3126.6666666666665,5168.0,3187.0,12367.666666666666,7743.333333333333,3788.6666666666665,3117.0,11466.333333333334,7914.0,6493.0,3548.3333333333335,6121.333333333333,37784.666666666664,7116.666666666667,5346.333333333333,4253.333333333333,34492.666666666664
Planaltina,38219.333333333336,21508.333333333332,15728.666666666666,15535.666666666666,21858.666666666668,28736.0,16791.333333333332,28800.0,18176.666666666668,13169.0,15601.333333333334,20507.333333333332,18326.0,30356.333333333332,32785.666666666664,28836.333333333332,14469.666666666666,16111.0,21490.0,13567.0,5947.333333333333,12081.333333333334,9181.0,15882.333333333334,34125.666666666664,20238.0,14443.666666666666,34502.0,7763.333333333333,16824.0,42739.333333333336,5419.333333333333,12592.333333333334,11967.333333333334,16968.0,15275.666666666666,17491.666666666668,17161.0,15962.333333333334,24830.0,12960.0,13587.333333333334,15967.333333333334,11066.666666666666,9594.333333333334,16583.333333333332,13183.0,16999.666666666668,29859.0,16145.0,9010.333333333334,15027.0,25047.0
Plano Piloto,26337.333333333332,27284.333333333332,5265.333333333333,3613.0,9226.333333333334,17851.0,7762.0,40605.333333333336,25008.666666666668,23509.333333333332,5049.333333333333,8672.333333333334,12298.0,24831.0,20718.666666666668,29792.0,3085.0,23812.333333333332,9931.666666666666,5855.666666666667,7200.666666666667,8444.0,3785.3333333333335,5988.333333333333,18068.0,13187.0,6160.666666666667,19667.5,13462.333333333334,8140.333333333333,33436.333333333336,11132.0,24649.0,4918.666666666667,7924.333333333333,6066.0,7452.333333333333,7775.0,8124.0,13565.333333333334,8729.666666666666,2293.3333333333335,4379.333333333333,9602.0,5457.333333333333,5249.333333333333,2419.6666666666665,5247.333333333333,37793.333333333336,8344.333333333334,4014.6666666666665,4801.333333333333,31397.0
Recanto das Emas,19786.0,33305.666666666664,4625.333333333333,6423.333333333333,8810.333333333334,16529.666666666668,8996.666666666666,35845.0,25162.333333333332,28760.0,5848.0,4174.0,10320.0,19754.333333333332,16191.666666666666,25407.333333333332,5028.333333333333,27895.333333333332,3016.3333333333335,6910.666666666667,13205.666666666666,9539.0,8563.333333333334,7086.333333333333,15221.666666666666,7438.0,4022.3333333333335,24724.333333333332,14550.666666666666,4857.666666666667,26596.666666666668,17322.0,22313.0,11690.333333333334,2960.3333333333335,3314.3333333333335,2899.3333333333335,3605.6666666666665,7667.0,7602.666666666667,13054.666666666666,7000.0,7127.0,12728.0,14447.666666666666,3815.6666666666665,5801.666666666667,6868.0,35475.0,8119.333333333333,8913.666666666666,7163.666666666667,38006.0
Riacho Fundo I,20579.333333333332,33270.333333333336,2106.6666666666665,2808.3333333333335,9901.666666666666,14782.666666666666,8595.333333333334,42664.666666666664,22743.333333333332,27872.666666666668,2382.3333333333335,6069.666666666667,8761.0,23537.333333333332,20049.333333333332,28558.0,3275.3333333333335,29643.333333333332,4498.666666666667,2970.6666666666665,9340.0,6477.333333333333,6984.0,5334.333333333333,21539.333333333332,6260.666666666667,2307.6666666666665,23922.0,14176.666666666666,3636.3333333333335,30635.0,15425.666666666666,27066.666666666668,7044.0,3558.6666666666665,2273.6666666666665,1405.0,3914.3333333333335,5202.333333333333,9347.0,8799.666666666666,3720.0,3791.3333333333335,10458.333333333334,8621.333333333334,4901.666666666667,3188.3333333333335,5084.333333333333,35234.0,5704.0,6439.666666666667,4107.0,39577.0
Riacho Fundo II,25024.0,35647.333333333336,2921.6666666666665,3788.6666666666665,9070.0,14433.0,10035.333333333334,40771.0,24622.666666666668,27189.333333333332,3280.3333333333335,7113.333333333333,5382.0,21064.666666666668,21635.666666666668,27767.0,4312.333333333333,28256.0,4432.0,3651.3333333333335,9505.666666666666,6950.666666666667,8296.0,4743.333333333333,11942.0,5256.333333333333,2484.6666666666665,24030.0,13430.666666666666,3200.3333333333335,27261.666666666668,15909.333333333334,24910.333333333332,5487.666666666667,3021.3333333333335,951.0,307.3333333333333,5236.666666666667,3073.6666666666665,9781.666666666666,6672.666666666667,4161.666666666667,4640.333333333333,11897.0,9165.333333333334,4996.666666666667,4389.333333333333,5300.0,29924.666666666668,3670.3333333333335,6390.666666666667,3959.3333333333335,40854.333333333336
Samambaia,20840.666666666668,33973.333333333336,4505.0,4201.666666666667,8058.333333333333,13159.0,6793.333333333333,44573.666666666664,28335.333333333332,30645.666666666668,4447.333333333333,4583.666666666667,13615.0,21326.333333333332,17415.0,27041.666666666668,6516.0,28524.333333333332,4245.666666666667,4765.0,12838.333333333334,10554.666666666666,9271.666666666666,9904.0,20285.0,8675.666666666666,4271.0,23469.666666666668,17076.0,5792.0,29266.666666666668,16989.333333333332,25585.0,11076.666666666666,3626.0,2710.6666666666665,3935.6666666666665,3015.6666666666665,7230.333333333333,7575.666666666667,12148.333333333334,5966.333333333333,5710.0,12747.333333333334,10582.333333333334,3922.3333333333335,5117.666666666667,4639.666666666667,38221.666666666664,7333.333333333333,9636.0,4130.333333333333,40382.333333333336
Santa Maria,25073.333333333332,33145.333333333336,6433.666666666667,7517.666666666667,12326.0,17729.0,13550.666666666666,41475.0,22430.333333333332,30304.0,5328.0,10909.333333333334,5386.0,26223.333333333332,21065.0,23943.333333333332,5462.0,26213.333333333332,8465.333333333334,5864.666666666667,9542.0,7479.333333333333,7813.666666666667,2554.6666666666665,11271.0,5047.333333333333,5951.666666666667,25644.0,12376.333333333334,4628.0,37581.666666666664,13046.333333333334,25430.666666666668,8279.0,8614.333333333334,6039.666666666667,4888.666666666667,7876.666666666667,4059.3333333333335,12661.0,8165.0,7646.666666666667,7100.666666666667,15644.0,9671.333333333334,8001.0,7255.333333333333,6561.333333333333,34455.666666666664,3712.6666666666665,8114.666666666667,8975.666666666666,42166.0
Sao Sebastiao,34089.0,36353.0,12316.666666666666,14071.666666666666,17301.666666666668,23972.666666666668,17802.666666666668,37527.666666666664,17650.0,27335.333333333332,8108.666666666667,15531.0,10736.0,32761.333333333332,30404.333333333332,16032.0,6764.0,27499.666666666668,12920.0,11810.0,7988.333333333333,8945.666666666666,8408.666666666666,5645.0,18389.0,11735.333333333334,7837.333333333333,31559.333333333332,6219.666666666667,9269.666666666666,40127.0,17055.0,22242.666666666668,8028.0,12172.333333333334,9389.0,11230.333333333334,11174.0,5540.0,18051.0,3671.6666666666665,11824.666666666666,10507.0,14260.666666666666,13386.333333333334,13565.333333333334,8050.0,12958.666666666666,24056.333333333332,9247.0,8151.333333333333,11416.333333333334,32216.333333333332
SCIA/Estrutural,26112.333333333332,31069.0,3414.3333333333335,2590.0,7785.0,17112.0,6902.0,42634.333333333336,26393.0,24567.0,2811.6666666666665,6547.0,11142.0,24169.0,20753.666666666668,29368.0,1610.6666666666667,28379.666666666668,8395.333333333334,1509.3333333333333,7342.666666666667,6715.333333333333,5126.333333333333,6827.333333333333,20690.333333333332,10140.0,2623.3333333333335,19126.333333333332,13833.666666666666,5280.666666666667,29635.333333333332,11620.666666666666,24113.0,3835.3333333333335,7430.0,3993.3333333333335,5151.333333333333,4534.0,7911.666666666667,11010.333333333334,8261.0,686.0,735.6666666666666,8515.666666666666,5981.333333333333,4427.0,2243.6666666666665,2510.6666666666665,36469.0,7616.666666666667,3440.0,2492.6666666666665,33569.333333333336
SIA,23062.333333333332,26882.666666666668,2114.6666666666665,2054.0,8700.333333333334,17697.666666666668,7209.333333333333,36826.0,22595.666666666668,25822.333333333332,2262.3333333333335,6171.333333333333,11376.333333333334,22528.333333333332,21954.0,30320.666666666668,1020.6666666666666,32449.666666666668,7909.0,1579.0,7024.0,6080.333333333333,3997.6666666666665,3965.6666666666665,24859.666666666668,9744.0,2584.6666666666665,23860.666666666668,12148.0,3667.0,31151.0,12763.666666666666,24524.666666666668,3287.0,5576.0,4625.333333333333,5179.666666666667,5598.0,8137.666666666667,12279.333333333334,9151.0,1242.3333333333333,1323.3333333333333,8185.333333333333,6301.666666666667,5526.666666666667,1103.6666666666667,3125.3333333333335,35228.0,6929.666666666667,3447.3333333333335,1632.3333333333333,34586.0
Sobradinho,32205.333333333332,29504.0,11670.0,12394.333333333334,17227.333333333332,25952.666666666668,9900.333333333334,35265.5,23648.0,26294.0,8367.666666666666,12559.666666666666,17911.0,27227.666666666668,29431.0,27434.666666666668,6973.0,21457.333333333332,14546.0,10095.0,10462.333333333334,7700.0,6208.0,13108.666666666666,28770.333333333332,15487.666666666666,9289.333333333334,24839.0,11981.0,11557.333333333334,36981.0,9796.666666666666,20200.0,11576.666666666666,12869.0,10109.333333333334,12631.0,15501.333333333334,14238.0,19970.666666666668,15118.333333333334,7328.666666666667,7345.0,2462.0,3528.6666666666665,13473.666666666666,10442.333333333334,10297.0,36888.666666666664,15629.333333333334,5003.333333333333,8460.0,31076.0
Sobradinho II,31240.333333333332,25582.333333333332,8827.666666666666,8939.333333333334,13681.666666666666,22992.0,11723.333333333334,35105.0,23708.333333333332,19620.333333333332,6021.666666666667,13705.666666666666,15908.0,26637.0,27312.333333333332,25807.666666666668,7524.333333333333,17041.0,13337.333333333334,6297.0,4599.666666666667,6230.666666666667,3770.6666666666665,9434.0,28775.666666666668,14326.666666666666,7846.333333333333,25234.333333333332,14302.0,8137.0,36339.666666666664,7485.666666666667,15599.0,8725.0,12930.333333333334,9349.0,10117.666666666666,11805.333333333334,12297.666666666666,19071.333333333332,13371.0,6454.666666666667,7103.333333333333,2336.3333333333335,1108.3333333333333,10749.0,7005.0,8637.333333333334,32265.666666666668,13277.666666666666,2693.6666666666665,9195.0,33393.666666666664
Sol Nascente/Por do Sol,21583.666666666668,32574.333333333332,3499.0,2820.3333333333335,5971.0,14573.0,5456.333333333333,35700.0,27388.0,30855.333333333332,4677.333333333333,4286.666666666667,12154.0,19440.666666666668,20636.333333333332,28391.0,4738.666666666667,30278.333333333332,6282.666666666667,3505.0,11413.0,10335.0,8732.333333333334,7056.0,15098.0,9327.0,4168.666666666667,22167.666666666668,15100.333333333334,5328.0,25401.333333333332,15920.666666666666,26009.333333333332,6304.333333333333,4281.666666666667,4144.333333333333,4355.666666666667,2844.3333333333335,8583.666666666666,8830.0,12774.0,3657.0,3923.6666666666665,11832.0,9482.0,497.0,5254.666666666667,3118.0,38766.666666666664,7809.0,6848.666666666667,3110.3333333333335,34954.333333333336
Sudoeste/Octogonal,25433.333333333332,26997.0,3218.3333333333335,3430.3333333333335,9803.333333333334,18897.0,8594.333333333334,37583.333333333336,20722.666666666668,23858.666666666668,1498.3333333333333,7075.666666666667,10853.0,23118.0,25292.666666666668,23455.333333333332,555.6666666666666,23599.333333333332,7305.333333333333,1804.3333333333333,7045.333333333333,4808.0,4355.0,5519.0,18987.333333333332,9935.666666666666,2339.0,25040.666666666668,11086.0,3333.6666666666665,31775.0,10788.666666666666,17488.0,3937.0,8023.666666666667,4736.333333333333,5159.0,5341.666666666667,7323.666666666667,14763.666666666666,7806.0,1883.3333333333333,1205.0,7244.0,5535.666666666667,5666.666666666667,589.0,4008.0,31904.0,6643.0,3070.0,2931.3333333333335,31006.333333333332
Taguatinga,23234.333333333332,29440.0,1869.3333333333333,2099.0,7499.666666666667,16550.666666666668,6800.333333333333,39516.666666666664,29649.666666666668,26951.0,4587.666666666667,3859.6666666666665,13031.666666666666,20388.333333333332,17601.0,30314.666666666668,3452.6666666666665,37174.333333333336,6882.0,3497.0,9229.666666666666,8090.0,7463.666666666667,7089.666666666667,16444.666666666668,9215.0,4069.6666666666665,22303.0,13781.666666666666,6031.333333333333,25287.333333333332,10889.0,24419.666666666668,4446.333333333333,5708.0,3560.0,4047.3333333333335,4477.0,7673.666666666667,13425.666666666666,9289.666666666666,2069.6666666666665,2456.6666666666665,8294.333333333334,6925.0,2271.0,3585.3333333333335,1502.0,31851.333333333332,7823.0,4922.0,2043.6666666666667,37797.666666666664
Varjao,29183.0,27656.666666666668,6488.0,6110.333333333333,11818.666666666666,20088.0,10019.0,31014.666666666668,24458.333333333332,22298.333333333332,4442.0,10574.0,11711.0,23442.333333333332,23425.666666666668,31306.0,3259.3333333333335,23546.333333333332,10381.666666666666,4327.0,4336.666666666667,5758.333333333333,1513.6666666666667,8426.333333333334,25483.0,11925.666666666666,5123.666666666667,17322.333333333332,7687.333333333333,5210.0,32510.333333333332,9345.0,19149.333333333332,4162.333333333333,9887.0,6634.333333333333,7928.333333333333,8726.0,9712.0,16181.0,10935.666666666666,4260.666666666667,4126.333333333333,5168.666666666667,3090.0,7700.333333333333,3565.6666666666665,6120.0,35061.0,9496.666666666666,104.66666666666667,5839.333333333333,29358.0
Vicente Pires,24702.0,31483.666666666668,2038.0,1433.3333333333333,6007.666666666667,16195.666666666666,6615.666666666667,42622.333333333336,25550.0,25315.333333333332,3064.0,5120.666666666667,13813.666666666666,23476.666666666668,19026.0,22905.333333333332,2618.3333333333335,31761.333333333332,7433.333333333333,1758.3333333333333,8402.666666666666,7917.333333333333,5687.666666666667,7722.333333333333,19872.0,8872.0,2772.6666666666665,23491.666666666668,15381.333333333334,3511.3333333333335,23429.666666666668,14621.333333333334,22923.666666666668,4119.666666666667,4555.666666666667,2614.6666666666665,4512.666666666667,3225.3333333333335,7557.666666666667,12415.0,9183.333333333334,1641.6666666666667,2577.0,10343.0,7172.0,2641.3333333333335,2800.0,2087.3333333333335,32850.0,7508.666666666667,4936.0,1572.3333333333333,34205.333333333336
